Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_time,mean_N_queue_green,mean_service_green_time,mean_response_green_time,mean_N_centre_green,green_rho
251,0.0,0.0,1.4470575490875384,1.4470575490875384,0.013350828577890978,0.006675414288945489,11.843085351497784,0.04582146118139024,39.64052657646886,51.48361192796664,0.19919254614987095,0.1533710849684807,21.875413757879933,0.06076503821633315,95.91353495611577,117.78894871399571,0.3271915242055436,0.2664264859892105,0.0,0.0,185.98135202368755,185.98135202368755,0.2583074333662327,0.2583074333662327
252,0.0,0.0,1.4875277015903672,1.4875277015903672,0.011953347602065451,0.0059766738010327254,30.548127929616733,0.12122272987943147,62.837454826268626,93.38558275588537,0.37057770934875145,0.24935497946931995,42.69788174448056,0.11860522706800156,100.42596400042633,143.12384574490687,0.39756623818029696,0.2789610111122954,0.0,0.0,118.79501498416168,118.79501498416168,0.10606697766443007,0.10606697766443007
253,0.0,0.0,1.720460805001371,1.720460805001371,0.01467853464584503,0.007339267322922515,12.246856673786528,0.05588843323354963,53.963158731391616,66.21001540517814,0.3021488798252177,0.2462604465916681,47.88110904413234,0.11875275060548694,121.30853984321044,169.18964888734277,0.41961718474043347,0.3008644341349465,1.1289421957372041,0.0005599911685204386,186.8068268743434,187.9357690700806,0.09322210767365109,0.09266211650513065
254,0.0,0.0,1.5341117585053068,1.5341117585053068,0.014458394549405174,0.007229197274702587,15.510985967670461,0.06770668477951391,69.71678160383674,85.2277675715072,0.37202596955816636,0.3043192847786524,36.5630139682649,0.11607306021671396,83.18052081499232,119.74353478325722,0.38013820566113404,0.26406514544442006,0.0,0.0,173.6494226149377,173.6494226149377,0.18949837785360263,0.18949837785360263
255,0.0,0.0,1.674167820992313,1.674167820992313,0.014283574663228068,0.007141787331614034,15.632943225495572,0.07444258678807415,55.32072437343739,70.95366759893297,0.3378746076139665,0.26343202082589234,44.2112472059588,0.08772072858325158,90.28477124188,134.4960184478388,0.2668571794599976,0.179136450876746,0.54712389612748,0.0005970598072819722,136.9172954033414,137.4644192994689,0.1500107750291823,0.14941371522190033
256,0.0,0.0,1.662396267606104,1.662396267606104,0.013688381965407405,0.006844190982703702,15.40765124575026,0.05655586270761505,61.656252783865376,77.06390402961564,0.2828734572515653,0.22631759454395028,15.19920579717482,0.033172869795421236,90.3783096287803,105.57751542595514,0.23042711700109256,0.1972542472056713,13.665178091971333,0.01626806915710873,194.3579348206301,208.02311291260142,0.24764656299119217,0.23137849383408346
257,0.0,0.0,1.5895321147513066,1.5895321147513066,0.012773025922108714,0.006386512961054357,44.37378110934682,0.16728211132491858,58.48713279376468,102.86091390311151,0.3877693182855394,0.22048720696062082,32.176705132446216,0.06703480235926294,100.02686387844464,132.20356901089085,0.27542410210602264,0.20838929974675968,10.736939801175918,0.010651725993230079,146.00524134630822,156.74218114748413,0.15549819558282157,0.1448464695895915
258,0.0,0.0,1.3566985899617294,1.3566985899617294,0.010902042240763897,0.005451021120381949,20.555821449845194,0.07749218403711482,78.57568326915948,99.13150471900467,0.3737100376311684,0.2962178535940536,88.23574305109534,0.18382446468978195,124.34320247615094,212.57894552724628,0.4428728031817631,0.2590483384919811,0.0,0.0,110.35331646351537,110.35331646351537,0.07663424754410789,0.07663424754410789
259,0.0,0.0,1.370057995192364,1.370057995192364,0.011145313056128358,0.005572656528064179,21.660312451500925,0.07735825875536044,59.77759669855891,81.43790915005984,0.290849675535928,0.21349141678056754,39.33433212824393,0.11316424917847955,98.59160285254265,137.92593498078656,0.3968107256391677,0.28364647646068814,0.0,0.0,241.15694084280577,241.15694084280577,0.167470097807504,0.167470097807504
260,0.0,0.0,1.473718920781225,1.473718920781225,0.014474025114815601,0.007237012557407801,19.976487315244775,0.09710792444910654,63.001788203834224,82.97827551907899,0.403366617106634,0.3062586926575275,59.95121639810783,0.17842623928008283,118.68528858208909,178.63650498019692,0.5316562648220147,0.35323002554193184,0.0,0.0,73.96367419287326,73.96367419287326,0.04402599654337694,0.04402599654337694
261,0.0,0.0,1.2999674273058581,1.2999674273058581,0.009672376691263824,0.004836188345631912,24.795549751470105,0.10577466659853318,68.07232265773982,92.86787240920992,0.39616255095198677,0.2903878843534536,43.33433832321248,0.03869137350286828,89.48281148994829,132.81714981316077,0.11858674090460783,0.07989536740173954,3.387891816457754,0.0036971041647852476,214.9311379651396,218.31902978159735,0.23824497297594951,0.23454786881116427
262,0.0,0.0,1.2538889444324404,1.2538889444324404,0.011817405726297801,0.0059087028631489005,5.445121360253519,0.021607624445450474,46.38053139644636,51.82565275669988,0.2056573522091265,0.18404972776367604,18.077833345836265,0.06097681882524137,97.33949478558388,115.41732813142013,0.3893044798083616,0.3283276609831202,3.191111423656716,0.004115520685271558,176.53906488966098,179.7301763133177,0.2317948702453502,0.22767934956007865
263,0.0,0.0,1.5400687147039314,1.5400687147039314,0.013139475145291478,0.006569737572645739,25.619207112966382,0.10166352028954913,67.99617092189195,93.61537803485834,0.37148959537642195,0.26982607508687284,29.655650140505447,0.08531883472962877,65.1310393465183,94.78668948702376,0.2726998011035406,0.18738096637391177,0.0,0.0,233.04691941663847,233.04691941663847,0.25431707476022053,0.25431707476022053
264,0.0,0.0,1.6633772886222864,1.6633772886222864,0.012871371876243883,0.006435685938121941,7.533804823441655,0.02615904452583908,57.31795570300233,64.85176052644398,0.22517972405015274,0.19902067952431365,37.0465898683634,0.10658245101017248,88.25255538001997,125.29914524838338,0.3604836520042775,0.25390120099410507,0.0,0.0,120.80980160442968,120.80980160442968,0.13183609302070698,0.13183609302070698
265,0.0,0.0,1.2649003278233983,1.2649003278233983,0.010038891490661892,0.005019445745330946,27.47967061473109,0.12812941655678187,72.85563514517395,100.33530575990505,0.4678332709043192,0.33970385434753725,8.607705090442868,0.014516962950151662,139.34957701434155,147.95728210478438,0.24953113053386256,0.2350141675837109,0.0,0.0,149.32637276703147,149.32637276703147,0.1629553671068796,0.1629553671068796
266,0.0,0.0,1.3481206836508468,1.3481206836508468,0.010298144111221746,0.005149072055610873,3.24408356297738,0.01029867797770597,42.41648160382926,45.66056516680664,0.1449541751327195,0.13465549715501351,11.88927908405959,0.03302577523349886,68.32970485408951,80.21898393814911,0.2228305109393031,0.18980473570580422,0.0,0.0,225.05024895519327,225.05024895519327,0.22326413586824728,0.22326413586824728
267,0.0,0.0,1.4468206443340006,1.4468206443340006,0.011339169732379568,0.005669584866189784,4.539104600697029,0.01981355182843941,68.64869575346799,73.18780035416502,0.31947055710151395,0.29965700527307454,34.55903676537357,0.08571189673951778,85.78275445065897,120.34179121603255,0.2984667440873823,0.2127548473478645,0.0,0.0,33.159543486078356,33.159543486078356,0.009868911751809034,0.009868911751809034
268,0.0,0.0,1.6216623133281403,1.6216623133281403,0.013352973413317027,0.0066764867066585135,12.465380759448381,0.051939086497701584,61.464708748122966,73.93008950757135,0.3080420396148806,0.256102953117179,54.16676746408822,0.13434218121053626,138.7093670871294,192.87613455121758,0.47836342894647227,0.344021247735936,0.0,0.0,218.8399013942099,218.8399013942099,0.21710307677997012,0.21710307677997012
269,0.0,0.0,1.2913081630281,1.2913081630281,0.011913855075556874,0.005956927537778437,20.803418776694304,0.08461708034171295,68.50152487401523,89.30494365070952,0.3632443144522907,0.2786272341105778,64.5404498810745,0.23050160671812323,96.86969221040125,161.41014209147576,0.5764647931838419,0.3459631864657188,0.0,0.0,324.07440278502366,324.07440278502366,0.16075119185765063,0.16075119185765063
270,0.0,0.0,1.811506609027844,1.811506609027844,0.01365818475060676,0.00682909237530338,16.26443061544279,0.059700786981288015,68.59400457329616,84.85843518873895,0.3114843355142204,0.25178354853293233,84.70637494624047,0.16806820425841365,92.87708525099711,177.58346019723757,0.35234813531197934,0.1842799310535657,17.267133280544634,0.017130092540222852,146.3792403723445,163.64637365288914,0.16234759290961223,0.14521750036938938
